Year,Abap,Ada,C/C++,C#,Cobol,Delphi,Go,Groovy,Haskell,Julia,Kotlin,Java,Javascript,Lua,Matlab,Objective-C,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic
2004,0.39,0.391666666666667,9.49333333333333,5.26,0.52,2.83166666666667,0,0.0733333333333333,0.223333333333333,0,0,29.095,8.715,0.203333333333333,2.22333333333333,0.208333333333333,7.37833333333333,18.94,2.81666666666667,0.418333333333333,0.425,0.113333333333333,0.04,0,0,1.555,8.69
2005,0.359166666666667,0.338333333333333,9.38833333333333,5.87416666666667,0.4425,2.5125,0,0.0833333333333333,0.235,0,0,30.165,8.23,0.250833333333333,2.24833333333333,0.1375,6.71666666666667,19.5791666666667,3.14416666666667,0.44,0.679166666666667,0.136666666666667,0.0175,0,0,1.55166666666667,7.47166666666667
2006,0.3675,0.253333333333333,8.4475,6.76666666666667,0.445833333333333,2.11,0,0.0941666666666667,0.295833333333333,0,0,30.0158333333333,8.33,0.398333333333333,2.3375,0.121666666666667,5.69333333333333,19.8225,3.865,0.541666666666667,1.96916666666667,0.0958333333333333,0.02,0,0.00416666666666667,1.61416666666667,6.39416666666667
2007,0.385,0.25,8.00833333333333,7.0925,0.371666666666667,1.82583333333333,0,0.15,0.335833333333333,0,0,30.12,8.26,0.38,2.41,0.12,4.99,19.94,4.47583333333333,0.66,2.77083333333333,0.0908333333333333,0.06,0,0.000833333333333333,1.695,5.62
2008,0.375833333333333,0.253333333333333,7.82583333333333,7.64916666666667,0.414166666666667,1.75666666666667,0,0.251666666666667,0.334166666666667,0,0,29.7666666666667,8.0975,0.435833333333333,2.5875,0.155,4.24083333333333,19.6583333333333,5.26833333333333,0.834166666666667,2.88,0.0766666666666667,0.14,0,0,1.73166666666667,5.26666666666667
2009,0.4325,0.2,9.15166666666667,7.21166666666667,0.4225,1.54083333333333,0,0.284166666666667,0.3125,0,0,28.1583333333333,7.9925,0.4675,2.91166666666667,0.154166666666667,4.04333333333333,18.94,6.47666666666667,1.02,2.62166666666667,0.095,0.18,0,0,2.00916666666667,5.375
2010,0.56,0.184166666666667,11.43,6.275,0.5125,1.25583333333333,0.03,0.335833333333333,0.29,0,0,28.8983333333333,7.28416666666667,0.48,3.26083333333333,0.41,3.26,17.8591666666667,6.27083333333333,1.17583333333333,2.315,0.0916666666666667,0.216666666666667,0,0,2.38,5.225
2011,0.590833333333333,0.219166666666667,12.4975,6.16416666666667,0.463333333333333,1.0775,0.03,0.32,0.26,0,0,28.53,7.0825,0.481666666666667,3.10416666666667,1.97083333333333,2.56666666666667,16.5066666666667,6.94166666666667,1.37583333333333,2.6275,0.0608333333333333,0.283333333333333,0,0,2.10666666666667,4.67916666666667
2012,0.67,0.238333333333333,9.61,8.33,0.3825,0.891666666666667,0.06,0.39,0.30,0.0933333333333333,0.00333333333333333,27.39,7.10083333333333,0.623333333333333,3.15666666666667,4.35,2.21333333333333,15.0641666666667,8.09583333333333,1.67416666666667,2.67333333333333,0.0758333333333333,0.38250000000000000,0,0.00416666666666667,2.2525,3.87
2013,0.609166666666667,0.24,8.24083333333333,9.80,0.3225,0.734166666666667,0.10,0.386666666666667,0.29,0.135833333333333,0.00416666666666667,26.63,7.31166666666667,0.6725000000000000,3.09666666666667,5.55,1.8775,14.14,9.48,1.98666666666667,2.73,0.08,0.484166666666667,0,0.08,1.70916666666667,3.175
2014,0.6125,0.304166666666667,8.0275,9.64666666666667,0.333333333333333,0.659166666666667,0.165,0.458333333333333,0.328333333333333,0.179166666666667,0,26.1425,7.545,0.60,3.0125,6.3625,1.22166666666667,12.845,10.2183333333333,2.31916666666667,2.62416666666667,0.235833333333333,0.68,0.815,0.11,1.655,2.74
2015,0.581666666666667,0.344166666666667,7.8475,9.37,0.326666666666667,0.535,,0.469166666666667,0.350833333333333,0.17,0,25.6241666666667,7.40166666666667,0.52,2.9483333333333300,5.66333333333333,1.31166666666667,11.8058333333333,11.37,2.8,2.5725,0.205833333333333,0.814166666666667,2.69083333333333,0.175,1.55416666666667,2.18083333333333
2016,0.47,0.37,7.68333333333333,8.9225,0.29,0.411666666666667,0.359166666666667,0.4,0.31,0.190833333333333,0.06,24.5166666666667,7.72916666666667,0.52,2.8425,5.45416666666667,1.0125,10.93,13.3091666666667,3.29,2.3475,0.27,1.02,3.3825,0.47,1.46916666666667,1.75833333333333
2017,0.47750000000000000,0.438333333333333,7.11083333333333,8.20,0.3375,0.348333333333333,0.598333333333333,0.44,0.33,0.23,0.39,22.6633333333333,8.13333333333333,0.4725,2.52666666666667,4.43166666666667,0.8225,9.38,17.4616666666667,3.9525,2.01166666666667,0.363333333333333,1.26166666666667,3.45,1.18666666666667,1.425,1.42
2018,0.53,0.339166666666667,6.175,7.7325,0.325833333333333,0.263333333333333,0.840833333333333,0.490833333333333,0.308333333333333,0.201666666666667,0.940833333333333,21.7608333333333,8.28333333333333,0.53,2.16083333333333,3.4291666666666700,0.7425,7.85416666666667,22.9533333333333,4.07,1.64166666666667,0.359166666666667,1.1925,2.79,1.4716666666666700,1.40833333333333,1.19
2019,0.5341666666666670,0.35416666666666700,5.92666666666667,7.31583333333333,0.31,0.26,1.135,0.4875,0.29,0.26,1.36,19.9541666666667,8.15333333333333,0.373333333333333,1.89833333333333,2.76,0.59,6.71666666666667,27.5516666666667,3.87166666666667,1.4075,0.556666666666667,1.1075,2.4175,1.70166666666667,1.3275,1.05666666666667
2020,0.463333333333333,0.401111111111111,5.81444444444444,6.95444444444444,0.352222222222222,0.281111111111111,1.33,0.43,0.274444444444444,0.353333333333333,1.54555555555556,17.97,8.22,0.422222222222222,1.71111111111111,2.49,0.504444444444444,5.94,30.8944444444444,3.89111111111111,1.26,0.74,0.971111111111111,2.29,1.87111111111111,1.26333333333333,0.866666666666667
