Year,Language,Popularity
2004,Abap,0.39
2005,Abap,0.359166666666667
2006,Abap,0.3675
2007,Abap,0.385
2008,Abap,0.375833333333333
2009,Abap,0.4325
2010,Abap,0.56
2011,Abap,0.590833333333333
2012,Abap,0.67
2013,Abap,0.609166666666667
2014,Abap,0.6125
2015,Abap,0.581666666666667
2016,Abap,0.47
2017,Abap,0.47750000000000000
2018,Abap,0.53
2019,Abap,0.5341666666666670
2020,Abap,0.463333333333333
2004,Ada,0.391666666666667
2005,Ada,0.338333333333333
2006,Ada,0.253333333333333
2007,Ada,0.25
2008,Ada,0.253333333333333
2009,Ada,0.2
2010,Ada,0.184166666666667
2011,Ada,0.219166666666667
2012,Ada,0.238333333333333
2013,Ada,0.24
2014,Ada,0.304166666666667
2015,Ada,0.344166666666667
2016,Ada,0.37
2017,Ada,0.438333333333333
2018,Ada,0.339166666666667
2019,Ada,0.35416666666666700
2020,Ada,0.401111111111111
2004,C/C++,9.49333333333333
2005,C/C++,9.38833333333333
2006,C/C++,8.4475
2007,C/C++,8.00833333333333
2008,C/C++,7.82583333333333
2009,C/C++,9.15166666666667
2010,C/C++,11.43
2011,C/C++,12.4975
2012,C/C++,9.61
2013,C/C++,8.24083333333333
2014,C/C++,8.0275
2015,C/C++,7.8475
2016,C/C++,7.68333333333333
2017,C/C++,7.11083333333333
2018,C/C++,6.175
2019,C/C++,5.92666666666667
2020,C/C++,5.81444444444444
2004,C#,5.26
2005,C#,5.87416666666667
2006,C#,6.76666666666667
2007,C#,7.0925
2008,C#,7.64916666666667
2009,C#,7.21166666666667
2010,C#,6.275
2011,C#,6.16416666666667
2012,C#,8.33
2013,C#,9.80
2014,C#,9.64666666666667
2015,C#,9.37
2016,C#,8.9225
2017,C#,8.20
2018,C#,7.7325
2019,C#,7.31583333333333
2020,C#,6.95444444444444
2004,Cobol,0.52
2005,Cobol,0.4425
2006,Cobol,0.445833333333333
2007,Cobol,0.371666666666667
2008,Cobol,0.414166666666667
2009,Cobol,0.4225
2010,Cobol,0.5125
2011,Cobol,0.463333333333333
2012,Cobol,0.3825
2013,Cobol,0.3225
2014,Cobol,0.333333333333333
2015,Cobol,0.326666666666667
2016,Cobol,0.29
2017,Cobol,0.3375
2018,Cobol,0.325833333333333
2019,Cobol,0.31
2020,Cobol,0.352222222222222
2004,Delphi,2.83166666666667
2005,Delphi,2.5125
2006,Delphi,2.11
2007,Delphi,1.82583333333333
2008,Delphi,1.75666666666667
2009,Delphi,1.54083333333333
2010,Delphi,1.25583333333333
2011,Delphi,1.0775
2012,Delphi,0.891666666666667
2013,Delphi,0.734166666666667
2014,Delphi,0.659166666666667
2015,Delphi,0.535
2016,Delphi,0.411666666666667
2017,Delphi,0.348333333333333
2018,Delphi,0.263333333333333
2019,Delphi,0.26
2020,Delphi,0.281111111111111
2004,Go,0
2005,Go,0
2006,Go,0
2007,Go,0
2008,Go,0
2009,Go,0
2010,Go,0.03
2011,Go,0.03
2012,Go,0.06
2013,Go,0.10
2014,Go,0.165
2015,Go,
2016,Go,0.359166666666667
2017,Go,0.598333333333333
2018,Go,0.840833333333333
2019,Go,1.135
2020,Go,1.33
2004,Groovy,0.0733333333333333
2005,Groovy,0.0833333333333333
2006,Groovy,0.0941666666666667
2007,Groovy,0.15
2008,Groovy,0.251666666666667
2009,Groovy,0.284166666666667
2010,Groovy,0.335833333333333
2011,Groovy,0.32
2012,Groovy,0.39
2013,Groovy,0.386666666666667
2014,Groovy,0.458333333333333
2015,Groovy,0.469166666666667
2016,Groovy,0.4
2017,Groovy,0.44
2018,Groovy,0.490833333333333
2019,Groovy,0.4875
2020,Groovy,0.43
2004,Haskell,0.223333333333333
2005,Haskell,0.235
2006,Haskell,0.295833333333333
2007,Haskell,0.335833333333333
2008,Haskell,0.334166666666667
2009,Haskell,0.3125
2010,Haskell,0.29
2011,Haskell,0.26
2012,Haskell,0.30
2013,Haskell,0.29
2014,Haskell,0.328333333333333
2015,Haskell,0.350833333333333
2016,Haskell,0.31
2017,Haskell,0.33
2018,Haskell,0.308333333333333
2019,Haskell,0.29
2020,Haskell,0.274444444444444
2004,Julia,0
2005,Julia,0
2006,Julia,0
2007,Julia,0
2008,Julia,0
2009,Julia,0
2010,Julia,0
2011,Julia,0
2012,Julia,0.0933333333333333
2013,Julia,0.135833333333333
2014,Julia,0.179166666666667
2015,Julia,0.17
2016,Julia,0.190833333333333
2017,Julia,0.23
2018,Julia,0.201666666666667
2019,Julia,0.26
2020,Julia,0.353333333333333
2004,Kotlin,0
2005,Kotlin,0
2006,Kotlin,0
2007,Kotlin,0
2008,Kotlin,0
2009,Kotlin,0
2010,Kotlin,0
2011,Kotlin,0
2012,Kotlin,0.00333333333333333
2013,Kotlin,0.00416666666666667
2014,Kotlin,0
2015,Kotlin,0
2016,Kotlin,0.06
2017,Kotlin,0.39
2018,Kotlin,0.940833333333333
2019,Kotlin,1.36
